,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-nopp,-10.675296206829781,0.04034960438914493,-11.847803320664806,-11.847803320664806,-9.798728543827286,-7.945790685441416,-23.538842461301012,-17.85822308657998
1,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_Mulliken,-12.645683425171704,0.03839085640728237,-14.239763620485679,-14.239763620485679,-9.798728543827286,-7.945790685441416,-23.538842461301012,-17.85822308657998
2,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_ChelPG,-13.216966109690114,0.03720590095670357,-15.052634458001878,-15.052634458001878,-9.798728543827286,-7.945790685441416,-23.538842461301012,-17.85822308657998
3,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,FT-ME,-13.080708100153336,0.051455568376951234,-15.645346307063173,-15.645346307063173,-9.798728543827286,-7.945790685441416,-23.538842461301012,-17.85822308657998
4,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-nopp,-25.783997681226307,0.002223500112124692,-25.98708419540333,-25.98708419540333,-36.03845805983031,-33.72250707287669,-45.53211855288143,-39.521198165069904
5,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_Mulliken,-29.826469270185473,0.002659230524244202,-31.230007050044296,-31.230007050044296,-36.03845805983031,-33.72250707287669,-45.53211855288143,-39.521198165069904
6,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_ChelPG,-30.764843405964132,0.0029228427762674277,-32.70574664288849,-32.70574664288849,-36.03845805983031,-33.72250707287669,-45.53211855288143,-39.521198165069904
7,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,FT-ME,-30.544702928995132,0.03366062159212139,-34.339281214818655,-34.339281214818655,-36.03845805983031,-33.72250707287669,-45.53211855288143,-39.521198165069904
8,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-nopp,-32.1639062109248,0.11888996356817702,-37.2115913589187,-37.2115913589187,-36.29330039395488,-31.85848180123126,-51.87974870473298,-40.07812194937776
9,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_Mulliken,-37.22904598241878,0.11209800321812594,-43.88801802273967,-43.88801802273967,-36.29330039395488,-31.85848180123126,-51.87974870473298,-40.07812194937776
10,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_ChelPG,-37.8327105199551,0.1109561356123813,-44.88800467003393,-44.88800467003393,-36.29330039395488,-31.85848180123126,-51.87974870473298,-40.07812194937776
11,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,FT-ME,-37.387714069281984,0.10174780972630099,-46.08903625052979,-46.08903625052979,-36.29330039395488,-31.85848180123126,-51.87974870473298,-40.07812194937776
12,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-nopp,-25.480946864373095,0.11741947509223359,-30.062686122997896,-30.062686122997896,-32.31681927946876,-30.214711149347895,-44.37062687770879,-37.23598359277386
13,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-pp_Mulliken,-30.000013633376234,0.1057672470430725,-37.3850158689911,-37.3850158689911,-32.31681927946876,-30.214711149347895,-44.37062687770879,-37.23598359277386
14,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-pp_ChelPG,-31.34289440048479,0.10103384307374942,-39.02750578723715,-39.02750578723715,-32.31681927946876,-30.214711149347895,-44.37062687770879,-37.23598359277386
15,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,FT-ME,-31.42013644310843,0.08441070821756518,-40.88418663834736,-40.88418663834736,-32.31681927946876,-30.214711149347895,-44.37062687770879,-37.23598359277386
