,base,system,calc,kernel_tot,kernel_A,kernel_B
0,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-nopp,0.04034960438914493,0.040349604389144644,
1,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_Mulliken,0.03839085640728237,0.03839085640728212,
2,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,MC-pp_ChelPG,0.03720590095670357,0.03720590095670359,
3,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_2MeOH,FT-ME,0.051455568376951234,0.03502703334818595,0.0678841034057007
4,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-nopp,0.002223500112124692,0.0022235001121246882,
5,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_Mulliken,0.002659230524244202,0.002659230524244146,
6,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,MC-pp_ChelPG,0.0029228427762674277,0.0029228427762672867,
7,/home/ricardi/NEG_GS/cc-pVTZ,7HQ_formate,FT-ME,0.03366062159212139,0.0032146253529423655,0.0641066178312838
8,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-nopp,0.11888996356817702,0.11888996356817702,
9,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_Mulliken,0.11209800321812594,0.11209800321812594,
10,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,MC-pp_ChelPG,0.1109561356123813,0.1109561356123813,
11,/home/ricardi/NEG_GS/cc-pVTZ,Uracil_5H2O,FT-ME,0.10174780972630099,0.10445085181433582,0.09904476763826614
12,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-nopp,0.11741947509223359,0.11741947509223359,
13,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-pp_Mulliken,0.1057672470430725,0.1057672470430725,
14,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,MC-pp_ChelPG,0.10103384307374942,0.10103384307374942,
15,/home/ricardi/NEG_GS/cc-pVTZ,XVI_2HCOOH,FT-ME,0.08441070821756518,0.0909356680596679,0.07788574837546243
