,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-nopp,-0.0170528707999507,3.629261517312682e-05,-0.019292341099950636,-0.019292341099950636,-0.021928490199940143,-0.013055538700001534,-0.04086135549994041,-0.02307849980000165
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_Mulliken,-0.0191894049999874,3.407241979473472e-05,-0.022189067499987343,-0.022189067499987343,-0.021928490199940143,-0.013055538700001534,-0.04086135549994041,-0.02307849980000165
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_ChelPG,-0.019636498800009575,3.3093351098837134e-05,-0.02336539420000945,-0.02336539420000945,-0.021928490199940143,-0.013055538700001534,-0.04086135549994041,-0.02307849980000165
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-ME,-0.019177192200068298,4.435201221883431e-05,-0.024063211500068286,-0.024063211500068286,-0.021928490199940143,-0.013055538700001534,-0.04086135549994041,-0.02307849980000165
4,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-nopp,-0.04336184839995277,-3.3202066278117406e-05,-0.04475708279995288,-0.04475708279995288,-0.06547045110002614,-0.055197231000022384,-0.07976101810002623,-0.060793343300022507
5,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_Mulliken,-0.04732184249998645,-3.36398509357445e-05,-0.05047496099998656,-0.05047496099998656,-0.06547045110002614,-0.055197231000022384,-0.07976101810002623,-0.060793343300022507
6,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_ChelPG,-0.04839948709994341,-3.39524373195012e-05,-0.0527531048999434,-0.0527531048999434,-0.06547045110002614,-0.055197231000022384,-0.07976101810002623,-0.060793343300022507
7,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-ME,-0.04766002439998743,1.55323889001507e-05,-0.05439726929998759,-0.05439726929998759,-0.06547045110002614,-0.055197231000022384,-0.07976101810002623,-0.060793343300022507
8,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-nopp,-0.04786354710005075,0.00010800518566795845,-0.057707760200050806,-0.057707760200050806,-0.07135979510007928,-0.0508472525000343,-0.09164493230007942,-0.05481414790003458
9,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_Mulliken,-0.052573865800049954,0.00010028177160915062,-0.06476375460005,-0.06476375460005,-0.07135979510007928,-0.0508472525000343,-0.09164493230007942,-0.05481414790003458
10,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_ChelPG,-0.05357273520012326,9.715533037758106e-05,-0.06700389720012331,-0.06700389720012331,-0.07135979510007928,-0.0508472525000343,-0.09164493230007942,-0.05481414790003458
11,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-ME,-0.0523319175001373,8.560156069861297e-05,-0.0683973455001374,-0.0683973455001374,-0.07135979510007928,-0.0508472525000343,-0.09164493230007942,-0.05481414790003458
12,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-nopp,-0.03953481610007975,0.00013986870379750744,-0.04710376720007986,-0.04710376720007986,-0.0592288810000241,-0.047960704800004805,-0.0736353223000239,-0.051473108100004605
13,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_Mulliken,-0.04547431839992944,0.000126478933633538,-0.05795759159992964,-0.05795759159992964,-0.0592288810000241,-0.047960704800004805,-0.0736353223000239,-0.051473108100004605
14,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_ChelPG,-0.04630766149992378,0.00012285700802121876,-0.05973109969992403,-0.05973109969992403,-0.0592288810000241,-0.047960704800004805,-0.0736353223000239,-0.051473108100004605
15,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-ME,-0.04532804209991345,7.600135212738036e-05,-0.06228443309991358,-0.06228443309991358,-0.0592288810000241,-0.047960704800004805,-0.0736353223000239,-0.051473108100004605
