,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-SE-nopp,-11.137842661408321,0.06261712012238793,-12.40546504847542,-12.40546504847542,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-SE,-14.140948024821286,0.0746513750611195,-16.809472239895012,-16.809472239895012,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-SE-nopp,-25.72629394858556,-0.009361396459277506,-26.35597482324777,-26.35597482324777,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-SE,-36.93472580301368,-0.0014867404146943766,-40.597483341371344,-40.597483341371344,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.14800530079402
4,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-SE-nopp,-32.153950624904056,0.1660737442278627,-37.64047547792632,-37.64047547792632,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
5,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-SE,-39.63910622974307,0.15462337608088375,-48.24751950105694,-48.24751950105694,-44.77848550468505,-31.906803485529025,-57.507469953096745,-34.3960422497154
6,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-SE-nopp,-26.66450568661029,0.12984503463386327,-31.33112363652786,-31.331123573777568,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
7,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-SE,-33.74648678617985,0.10575708720663704,-43.69056554411506,-43.69056554411506,-37.166300514158124,-30.095486144117416,-46.2063856492319,-32.29952975207719
