,base,system,calc,densdiff_FDET_ref,densdiff_iso_ref,densdiff_iso_FDET,M_value
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-nopp,0.22811047040996982,0.3542661018504742,0.1616201630075337,0.13143544924769981
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_Mulliken,0.17123387303430457,0.3542661018504742,0.2142515320734832,0.09077811499411512
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_ChelPG,0.13683593219364593,0.3542661018504742,0.25705921019945954,0.0631023798960926
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-ME,0.10250123500926861,0.3542661018504742,0.3127139892186931,0.04516662943485866
4,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-nopp,0.30577584929325086,0.6453581927208636,0.42987935545041034,0.2263849340033297
5,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_Mulliken,0.25285124815508925,0.6453581927208636,0.4696608850928063,0.18090575457984348
6,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_ChelPG,0.22236495602770612,0.6453581927208636,0.5009065933959047,0.1539134671826776
7,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-ME,0.17673497677934324,0.6453581927208636,0.5666452972935878,0.11616153384057673
8,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-nopp,0.41289830589601295,0.6053040089639525,0.27418817910580806,0.26377200125809697
9,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_Mulliken,0.30285372969468816,0.6053040089639525,0.38079342219882395,0.18330276601277629
10,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_ChelPG,0.2544558743483415,0.6053040089639525,0.4500447955899526,0.14394296579606156
11,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-ME,0.20592467909786963,0.6053040089639525,0.5448345998986953,0.12025370664876028
12,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-nopp,0.42161432026570306,0.5819048591850828,0.2233467840832692,0.20378315369246042
13,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_Mulliken,0.264526993836036,0.5819048591850828,0.38106565628444644,0.1055083050018643
14,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_ChelPG,0.2325296432673923,0.5819048591850828,0.41466574226591846,0.0898341144856413
15,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-ME,0.1616955525704441,0.5819048591850828,0.5290212438047863,0.05961067554070746
