,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP,E_MPk,BSSE
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-nopp,-10.700727585581463,0.0227737248989826,-12.10600191724233,-12.10600191724233,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-10.723501310480446,11.158795300278673
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_Mulliken,-12.041409205707094,0.021380545638455425,-13.92370642344456,-13.92370642344456,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-12.06278975134555,11.158795300278673
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-pp_ChelPG,-12.321961906502409,0.0207661770945736,-14.661854956688533,-14.661854956688533,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-12.342728083596983,11.158795300278673
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-ME,-12.033745637119456,0.027831020723355183,-15.09973740592735,-15.09973740592735,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-12.06157665784281,11.158795300278673
4,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-nopp,-27.209689956515565,-0.020834396195717503,-28.085203728218836,-28.085203728218836,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-27.188855560319848,11.902272840026733
5,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_Mulliken,-29.694598134269,-0.021109107381732484,-31.67318945237457,-31.67318945237457,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-29.673489026887268,11.902272840026733
6,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-pp_ChelPG,-30.37082335367579,-0.02130525627529896,-33.102731584029186,-33.102731584029186,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-30.34951809740049,11.902272840026733
7,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-ME,-29.90680829106532,0.009746620632011264,-34.13444967755012,-34.13444967755012,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-29.916554911697332,11.902272840026733
8,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-nopp,-30.034519395923148,0.06777357802220092,-36.21179264881249,-36.21179264881249,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-30.10229297394535,23.111427703381345
9,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_Mulliken,-32.990258511128744,0.06292711253005685,-40.63945030279518,-40.63945030279518,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-33.0531856236588,23.111427703381345
10,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-pp_ChelPG,-33.61705205628295,0.06096526127792325,-42.04514650476898,-42.04514650476898,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-33.67801731756087,23.111427703381345
11,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-ME,-32.83843522708866,0.05371523614306175,-42.91953949337272,-42.91953949337272,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-32.89215046323172,23.111427703381345
12,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-nopp,-24.808215707248344,0.08776803123904732,-29.557755229351717,-29.557755229351717,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-24.89598373848739,13.906855897154706
13,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_Mulliken,-28.53527121891093,0.07936591029184599,-36.368562601730645,-36.368562601730645,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-28.614637129202773,13.906855897154706
14,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-pp_ChelPG,-29.05819651418668,0.07709314110433885,-37.48144425500143,-37.48144425500143,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-29.135289655291018,13.906855897154706
15,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-ME,-28.44348240182199,0.04769107646398756,-39.08366862349507,-39.08366862349507,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-28.491173478285976,13.906855897154706
