,base,system,calc,densdiff_FDET_ref,densdiff_iso_ref,densdiff_iso_FDET,M_value
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-nopp,0.23112485713087222,0.36765407037559034,0.1711586361147276,0.12268858095333497
1,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_Mulliken,0.22140069677618485,0.36765407037559034,0.29586680601175785,0.12053843839689007
2,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-pp_ChelPG,0.11751554360209823,0.36765407037559034,0.277876157294365,0.03687873590593689
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,0.07263050172601787,0.36765407037559034,0.344519292427194,0.013059187422304667
4,/home/ricardi/NEG_GS,7HQ_formate,MC-nopp,0.3158064242947056,0.6729942238667983,0.434709644278163,0.20548676762965543
5,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_Mulliken,0.24237169128738922,0.6729942238667983,0.49534773371762836,0.1484754748813183
6,/home/ricardi/NEG_GS,7HQ_formate,MC-pp_ChelPG,0.18616736589984506,0.6729942238667983,0.5298908361690863,0.09614363731546421
7,/home/ricardi/NEG_GS,7HQ_formate,FT-ME,0.11353208402768122,0.6729942238667983,0.6266520482199753,0.03587193858352615
8,/home/ricardi/NEG_GS,Uracil_5H2O,MC-nopp,0.42665340861366324,0.6434617909489789,0.28762008811265294,0.23683065663039268
9,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_Mulliken,0.30532111875247525,0.6434617909489789,0.4464805328606265,0.17304357669576337
10,/home/ricardi/NEG_GS,Uracil_5H2O,MC-pp_ChelPG,0.20638892267902736,0.6434617909489789,0.4969255078076046,0.05753720651271367
11,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,0.1287011497522833,0.6434617909489789,0.6056268271707682,0.02429074862785651
12,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-nopp,0.41884294774511466,0.606454687068124,0.24138353664785217,0.1846692714470567
13,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_Mulliken,0.28088285385061634,0.606454687068124,0.5007972232981587,0.1515936089928749
14,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-pp_ChelPG,0.21507975889727857,0.606454687068124,0.4373023685633131,0.05740990686786922
15,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,0.12666828884984022,0.606454687068124,0.5666076262132723,0.016282991669419062
