,base,system,calc,densdiff_FDET_ref,densdiff_iso_ref,densdiff_iso_FDET,M_value
0,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-ME,0.07547092856778263,0.36765407037559034,0.3318604455870595,0.015303914736052733
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-ME,0.07263833878424003,0.36765407037559034,0.3444619282370663,0.013064436809620595
2,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-ME,0.23092226336432944,0.36765407037559034,0.17163367951604117,0.12268858095333497
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-ME,0.07273906277134312,0.36765407037559034,0.3436695098142971,0.0131431841933135
4,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-ME,0.07263106972022211,0.36765407037559034,0.3445154176696499,0.013059529405972449
5,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-ME,0.07263054214599132,0.36765407037559034,0.3445190300161404,0.01305920998679053
6,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-ME,0.07263050194247338,0.36765407037559034,0.34451929155241307,0.013059187518128627
7,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-ME,0.07263050461990342,0.36765407037559034,0.34451927487280937,0.013059188859232598
8,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,0.07263050172601787,0.36765407037559034,0.344519292427194,0.013059187422304667
9,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-SE,0.059251473034152236,0.3619111261042231,0.34287514898452626,0.007192605142358595
10,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-SE,0.059260485315053055,0.3619111261042231,0.34277368483854964,0.007200811040595097
11,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-SE,0.06319442167700837,0.3619111261042231,0.3273949445380607,0.009862495625532403
12,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-SE,0.05937681832823344,0.3619111261042231,0.34158947169843223,0.007302231414148137
13,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-SE,0.2283185905309853,0.3619111261042231,0.17074776717721696,0.12146881570044571
14,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-SE,0.059250557970212475,0.3619111261042231,0.3428846253703226,0.007191820230463601
15,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-SE,0.059250550956144454,0.3619111261042231,0.34288469039658553,0.007191814659050465
16,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-SE,0.059250634882288586,0.3619111261042231,0.3428838729202741,0.007191883871351869
17,/home/ricardi/NEG_GS,7HQ_2MeOH,FT16-SE,0.059250550319177496,0.3619111261042231,0.3428846960614506,0.007191814196882446
18,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-SE,0.05925055030268662,0.3619111261042231,0.34288469643493896,0.007191814151160034
19,/home/ricardi/NEG_GS,7HQ_formate,FT2-ME,0.12649952926487812,0.6729942238667983,0.6051266169408975,0.04705192741285895
