,base,system,calc,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
34,/home/ricardi/NEG_GS,7HQ_formate,FT8-MC-SE,-38.36967506529621,-38.36967506529621,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
35,/home/ricardi/NEG_GS,7HQ_formate,FT12-MC-SE,-38.36976454726123,-38.36976454726123,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
36,/home/ricardi/NEG_GS,7HQ_formate,FT22-MC-SE,-38.36976649250726,-38.36976649250726,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
37,/home/ricardi/NEG_GS,7HQ_formate,FT16-MC-SE,-38.36976642974882,-38.36976642974882,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
38,/home/ricardi/NEG_GS,7HQ_formate,FT26-MC-SE,-38.3697664297247,-38.3697664297247,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
39,/home/ricardi/NEG_GS,7HQ_formate,FT0-MC-SE,-23.17143700752346,-23.17143700752346,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
40,/home/ricardi/NEG_GS,7HQ_formate,FT14-MC-SE,-38.36976605323198,-38.36976605323198,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
41,/home/ricardi/NEG_GS,7HQ_formate,FT2-MC-SE,-37.89935949604008,-37.89935949604008,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
42,/home/ricardi/NEG_GS,7HQ_formate,FT18-MC-SE,-38.3697664924915,-38.3697664924915,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
43,/home/ricardi/NEG_GS,7HQ_formate,FT4-MC-SE,-38.347457882309165,-38.347457882309165,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
44,/home/ricardi/NEG_GS,7HQ_formate,FT-SE,-38.36976636698219,,-32.95098152959578,-32.285510080086404,-40.00652335510867,-36.484598197562235
45,/home/ricardi/NEG_GS,Uracil_5H2O,FT10-MC-ME,-46.424036131572024,-46.424036131572024,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
46,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-MC-ME,-46.42403619423657,-46.42403619423657,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
47,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-MC-ME,-46.42398310750781,-46.42398310750781,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
48,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-MC-ME,-46.4240361942802,-46.4240361942802,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
49,/home/ricardi/NEG_GS,Uracil_5H2O,FT12-MC-ME,-46.42403613153752,-46.42403613153752,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
50,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-MC-ME,-36.534763673883084,-36.534763673883084,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
51,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-MC-ME,-46.42403606874821,-46.424036005997905,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
52,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-MC-ME,-46.40207145580479,-46.40207145580479,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
53,/home/ricardi/NEG_GS,Uracil_5H2O,FT-ME,-46.42403619423657,,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
54,/home/ricardi/NEG_GS,Uracil_5H2O,FT12-MC-SE,-48.28772650481009,-48.28772650481009,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
55,/home/ricardi/NEG_GS,Uracil_5H2O,FT4-MC-SE,-48.28746759715722,-48.28746759715722,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
56,/home/ricardi/NEG_GS,Uracil_5H2O,FT16-MC-SE,-48.28772663033424,-48.28772663033424,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
57,/home/ricardi/NEG_GS,Uracil_5H2O,FT14-MC-SE,-48.287726567536,-48.287726567536,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
58,/home/ricardi/NEG_GS,Uracil_5H2O,FT0-MC-SE,-36.690344069483814,-36.690344069483814,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
59,/home/ricardi/NEG_GS,Uracil_5H2O,FT10-MC-SE,-48.287726442089316,-48.287726442089316,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
60,/home/ricardi/NEG_GS,Uracil_5H2O,FT6-MC-SE,-48.28772493609366,-48.28772493609366,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
61,/home/ricardi/NEG_GS,Uracil_5H2O,FT8-MC-SE,-48.28772650483228,-48.287726504832285,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
62,/home/ricardi/NEG_GS,Uracil_5H2O,FT2-MC-SE,-48.241193015853014,-48.24119295310271,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
63,/home/ricardi/NEG_GS,Uracil_5H2O,FT-SE,-48.28772663033424,,-33.4610079359424,-31.378211022400592,-46.45924225009821,-38.6198272537579
64,/home/ricardi/NEG_GS,XVI_2HCOOH,FT12-MC-ME,-41.842361882125026,-41.842361882125026,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
65,/home/ricardi/NEG_GS,XVI_2HCOOH,FT4-MC-ME,-41.84175238853844,-41.84175238853844,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
66,/home/ricardi/NEG_GS,XVI_2HCOOH,FT6-MC-ME,-41.84235981148479,-41.8423598114848,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
67,/home/ricardi/NEG_GS,XVI_2HCOOH,FT0-MC-ME,-30.606392309661956,-30.60639237241226,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
68,/home/ricardi/NEG_GS,XVI_2HCOOH,FT16-MC-ME,-41.842361756764774,-41.842361756764774,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
69,/home/ricardi/NEG_GS,XVI_2HCOOH,FT2-MC-ME,-41.7771750509073,-41.7771750509073,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
70,/home/ricardi/NEG_GS,XVI_2HCOOH,FT8-MC-ME,-41.842362007772124,-41.842362007772124,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
71,/home/ricardi/NEG_GS,XVI_2HCOOH,FT14-MC-ME,-41.842361882206305,-41.842361882206305,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
72,/home/ricardi/NEG_GS,XVI_2HCOOH,FT10-MC-ME,-41.84236188223634,-41.84236194498664,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
73,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-ME,-41.842361756764774,,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
74,/home/ricardi/NEG_GS,XVI_2HCOOH,FT18-MC-SE,-43.98651020341435,-43.98651020341435,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
75,/home/ricardi/NEG_GS,XVI_2HCOOH,FT4-MC-SE,-43.98501699713006,-43.98501705988036,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
76,/home/ricardi/NEG_GS,XVI_2HCOOH,FT6-MC-SE,-43.986490060488286,-43.986490060488286,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
77,/home/ricardi/NEG_GS,XVI_2HCOOH,FT8-MC-SE,-43.986509952229675,-43.98651001497998,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
78,/home/ricardi/NEG_GS,XVI_2HCOOH,FT16-MC-SE,-43.98651026618472,-43.98651026618472,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
79,/home/ricardi/NEG_GS,XVI_2HCOOH,FT14-MC-SE,-43.98651020341102,-43.98651020341102,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
80,/home/ricardi/NEG_GS,XVI_2HCOOH,FT0-MC-SE,-31.56210931049543,-31.56210931049544,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
81,/home/ricardi/NEG_GS,XVI_2HCOOH,FT2-MC-SE,-43.87258577871694,-43.872585841467235,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
82,/home/ricardi/NEG_GS,XVI_2HCOOH,FT12-MC-SE,-43.98651020336888,-43.98651020336888,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
83,/home/ricardi/NEG_GS,XVI_2HCOOH,FT10-MC-SE,-43.98651026611654,-43.98651026611654,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
84,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-SE,-43.98651014063618,,-31.5357474075386,-29.837331347163243,-43.8498381674043,-36.531919893011114
