,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP,E_MPk,BSSE
0,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,MC-SE-nopp,-11.13784266140832,0.06261712012238793,-12.40546504847542,-12.40546504847542,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-11.200459781530707,11.158795300278673
1,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_2MeOH,FT-SE,-14.140948024821286,0.0746513750611195,-16.809472239895012,-16.809472239895012,-13.76019338593304,-8.192389700867063,-25.64062316027911,-14.481827860000436,-14.215599399882406,11.158795300278673
2,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,MC-SE-nopp,-25.726293948585557,-0.009361396459277506,-26.35597482324777,-26.35597482324777,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-25.71693255212628,11.902272840026733
3,/home/ricardi/NEG_GS/cc-pVDZ,7HQ_formate,FT-SE,-36.93472580301368,-0.0014867404146943766,-40.597483341371344,-40.597483341371344,-41.0829044766197,-34.63642804420705,-50.05027814082076,-38.148005300794026,-36.933239062598986,11.902272840026733
4,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,MC-SE-nopp,-32.153950624904056,0.1660737442278627,-37.64047547792632,-37.64047547792632,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-32.32002436913192,23.111427703381345
5,/home/ricardi/NEG_GS/cc-pVDZ,Uracil_5H2O,FT-SE,-39.63910622974307,0.15462337608088375,-48.247519501056935,-48.247519501056935,-44.77848550468505,-31.90680348552902,-57.507469953096745,-34.3960422497154,-39.793729605823955,23.111427703381345
6,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,MC-SE-nopp,-26.664505686610287,0.12984503463386327,-31.331123636527856,-31.33112357377757,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-26.79435072124415,13.906855897154706
7,/home/ricardi/NEG_GS/cc-pVDZ,XVI_2HCOOH,FT-SE,-33.74648678617985,0.10575708720663704,-43.69056554411507,-43.69056554411507,-37.16630051415814,-30.095486144117412,-46.2063856492319,-32.29952975207719,-33.852243873386485,13.906855897154706
