,base,system,calc,E_FDET_MP,kernel_tot,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP,E_MPk,BSSE
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-SE-nopp,-10.891219424370194,0.09180416471221173,-12.059829368073366,-12.059829368073366,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-10.983023589082405,5.63217438612811
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-SE,-14.164958736800324,0.1042075535704218,-16.867564647813683,-16.867564647813683,-9.45796630264132,-7.970078628241522,-23.10528244096248,-17.47310805483437,-14.269166290370746,5.63217438612811
2,/home/ricardi/NEG_GS,7HQ_formate,MC-SE-nopp,-23.01679849396939,0.01980966887565003,-23.171437007523462,-23.171437007523462,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-23.036608162845038,3.521925157546427
3,/home/ricardi/NEG_GS,7HQ_formate,FT-SE,-33.294983254936945,0.030185337695383244,-38.36976636698219,-38.36976636698219,-32.95098152959578,-32.28551008008641,-40.00652335510867,-36.48459819756224,-33.32516859263233,3.521925157546427
4,/home/ricardi/NEG_GS,Uracil_5H2O,MC-SE-nopp,-31.84075578281197,0.2240160600066622,-36.690344069483814,-36.690344069483814,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-32.06477184281864,7.8394149963403095
5,/home/ricardi/NEG_GS,Uracil_5H2O,FT-SE,-39.47457387644084,0.21998722120979256,-48.28772663033424,-48.28772663033424,-33.4610079359424,-31.37821102240059,-46.45924225009821,-38.6198272537579,-39.694561097650634,7.8394149963403095
6,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-SE-nopp,-26.788202340894852,0.15961335809782004,-31.56210931049543,-31.562109310495444,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-26.94781569899267,7.317918274393186
7,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-SE,-34.746710190504764,0.14747183740439812,-43.98651014063618,-43.98651014063618,-31.5357474075386,-29.837331347163246,-43.8498381674043,-36.531919893011114,-34.89418202790916,7.317918274393186
