,base,system,calc,kernel_tot,kernel_A,kernel_B
0,/home/ricardi/NEG_GS,7HQ_2MeOH,MC-SE-nopp,0.09180416471221171,0.09180416471221171,
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-SE,0.10420755357042179,0.0814711347866121,0.1269439723542315
2,/home/ricardi/NEG_GS,7HQ_formate,MC-SE-nopp,0.01980966887565003,0.01980966887565003,
3,/home/ricardi/NEG_GS,7HQ_formate,FT-SE,0.030185337695383244,-0.007929542182781926,0.06830021757354841
4,/home/ricardi/NEG_GS,Uracil_5H2O,MC-SE-nopp,0.2240160600066622,0.2240160600066622,
5,/home/ricardi/NEG_GS,Uracil_5H2O,FT-SE,0.21998722120979258,0.2041985066170074,0.23577593580257766
6,/home/ricardi/NEG_GS,XVI_2HCOOH,MC-SE-nopp,0.15961335809782004,0.15961335809782004,
7,/home/ricardi/NEG_GS,XVI_2HCOOH,FT-SE,0.14747183740439812,0.1306237814002901,0.16431989340850617
