,base,system,calc,E_FDET_HF,E_linFDET_HF,E_ref_HF,E_ref_HF_CP,E_ref_MP,E_ref_MP_CP
0,/home/ricardi/NEG_GS,7HQ_2MeOH,FT2-MC-ME,-0.02554764290008018,-0.02554764290008018,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
1,/home/ricardi/NEG_GS,7HQ_2MeOH,FT0-MC-ME,-0.018968232200031993,-0.018968232200031993,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
2,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-ME,-0.02557540639995058,-0.02557540639995058,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
3,/home/ricardi/NEG_GS,7HQ_2MeOH,FT12-MC-ME,-0.02557540650003942,-0.02557540650003942,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
4,/home/ricardi/NEG_GS,7HQ_2MeOH,FT4-MC-ME,-0.02557496810005032,-0.02557496810005032,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
5,/home/ricardi/NEG_GS,7HQ_2MeOH,FT8-MC-ME,-0.025575406000003596,-0.025575406000003596,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
6,/home/ricardi/NEG_GS,7HQ_2MeOH,FT14-MC-ME,-0.02557540639993816,-0.02557540639993816,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
7,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-MC-ME,-0.0255754008001026,-0.0255754008001026,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
8,/home/ricardi/NEG_GS,7HQ_2MeOH,FT-ME,-0.025575406299922165,,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
9,/home/ricardi/NEG_GS,7HQ_2MeOH,FT10-MC-SE,-0.026880452799953748,-0.026880452799953748,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
10,/home/ricardi/NEG_GS,7HQ_2MeOH,FT6-MC-SE,-0.02688045059992674,-0.02688045059992674,-0.015072384199982025,-0.012701259799939635,-0.03682099119998228,-0.02784545739993971
